Wavelength_nm;Hydrogen (H);Mercury (Hg);Sodium (Na);Neon (Ne);Argon (Ar);Helium (He);Krypton (Kr);Xenon (Xe);Cadmium (Cd);Neon-Argon Mix;Fluorescent 2-band;Fluorescent 3-band;Fluorescent 4-band;LED Violet;LED Blue;LED Cyan;LED Green;LED Yellow;LED Amber;LED Orange;LED Red;LED White Warm;LED White Neutral;LED White Cool;Solar AM1.5G;Incandescent 2700K;Tungsten 2856K (Illuminant A);Halogen 3000K;Halogen 3200K;Cadmium-Mercury (Cd/Hg);Mercury-Argon (Hg/Ar);Mercury-Neon (Hg/Ne);Neon-Argon (Ne/Ar);Argon-Krypton (Ar/Kr);Mercury-Cadmium-Argon (Hg/Cd/Ar);Mercury-Neon-Argon (Hg/Ne/Ar)
314.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.0;0.0;0.531642;0.002816;0.005375;0.009082;0.017092;0.0;0.0;0.0;0.0;0.0;0.0;0.0
314.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.0;0.0;0.534126;0.00287;0.005471;0.009232;0.017347;0.0;0.0;0.0;0.0;0.0;0.0;0.0
315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.0;0.0;0.536607;0.002925;0.005567;0.009383;0.017605;0.0;0.0;0.0;0.0;0.0;0.0;0.0
315.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.0;0.0;0.539086;0.002981;0.005665;0.009536;0.017866;0.0;0.0;0.0;0.0;0.0;0.0;0.0
316.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.0;0.0;0.541561;0.003037;0.005764;0.009692;0.018129;0.0;0.0;0.0;0.0;0.0;0.0;0.0
316.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;1e-06;0.0;0.544032;0.003095;0.005865;0.009849;0.018396;0.0;0.0;0.0;0.0;0.0;0.0;0.0
317.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;1e-06;0.0;0.546501;0.003153;0.005967;0.010008;0.018665;0.0;0.0;0.0;0.0;0.0;0.0;0.0
317.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;1e-06;0.0;0.548966;0.003212;0.00607;0.010169;0.018937;0.0;0.0;0.0;0.0;0.0;0.0;0.0
318.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;1e-06;0.0;0.551427;0.003273;0.006174;0.010332;0.019212;0.0;0.0;0.0;0.0;0.0;0.0;0.0
318.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;1e-06;0.0;0.553885;0.003334;0.00628;0.010496;0.019489;0.0;0.0;0.0;0.0;0.0;0.0;0.0
319.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;1e-06;0.0;0.556339;0.003395;0.006388;0.010663;0.01977;0.0;0.0;0.0;0.0;0.0;0.0;0.0
319.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;1e-06;0.0;0.55879;0.003458;0.006497;0.010832;0.020053;0.0;0.0;0.0;0.0;0.0;0.0;0.0
320.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;1e-06;0.0;0.561237;0.003522;0.006607;0.011003;0.02034;0.0;0.0;0.0;0.0;0.0;0.0;0.0
